cycle,metric_id,value,error,timestamp,source
0,e6_trust_passing,0.0,26.0,2026-09-01T14:47:01,measure
0,e7_buyer_passing,0.0,9.0,2026-09-01T14:47:01,measure
0,e8_proofs_passing,0.0,8.0,2026-09-01T14:47:01,measure
1,acceptance_pass_rate,5.0,95.0,2026-09-01T22:45:36,measure
1,acceptance_collected,120.0,0.0,2026-09-01T22:45:36,measure
1,build_succeeds,0.0,1.0,2026-09-01T22:45:36,measure
1,spec_criteria_passing,5.0,3.0,2026-09-01T22:45:36,measure
1,e1_foundation_passing,1.0,9.0,2026-09-01T22:45:36,measure
1,e2_ingestion_passing,0.0,8.0,2026-09-01T22:45:36,measure
1,e3_exchange_passing,0.0,21.0,2026-09-01T22:45:36,measure
1,e4_store_agent_passing,0.0,20.0,2026-09-01T22:45:36,measure
1,e5_merchant_passing,0.0,10.0,2026-09-01T22:45:36,measure
1,e6_trust_passing,0.0,26.0,2026-09-01T22:45:36,measure
1,e7_buyer_passing,0.0,9.0,2026-09-01T22:45:36,measure
1,e8_proofs_passing,0.0,8.0,2026-09-01T22:45:36,measure
1,acceptance_pass_rate,13.33,86.67,2026-09-01T22:51:32,measure
1,acceptance_collected,120.0,0.0,2026-09-01T22:51:32,measure
1,build_succeeds,1.0,0.0,2026-09-01T22:51:32,measure
1,spec_criteria_passing,6.0,2.0,2026-09-01T22:51:32,measure
1,e1_foundation_passing,10.0,0.0,2026-09-01T22:51:32,measure
1,e2_ingestion_passing,0.0,8.0,2026-09-01T22:51:32,measure
1,e3_exchange_passing,0.0,21.0,2026-09-01T22:51:32,measure
1,e4_store_agent_passing,0.0,20.0,2026-09-01T22:51:32,measure
1,e5_merchant_passing,0.0,10.0,2026-09-01T22:51:32,measure
1,e6_trust_passing,0.0,26.0,2026-09-01T22:51:32,measure
1,e7_buyer_passing,0.0,9.0,2026-09-01T22:51:32,measure
1,e8_proofs_passing,0.0,8.0,2026-09-01T22:51:32,measure
2,acceptance_pass_rate,13.33,86.67,2026-09-01T23:46:40,measure
2,acceptance_collected,120.0,0.0,2026-09-01T23:46:40,measure
2,build_succeeds,0.0,1.0,2026-09-01T23:46:40,measure
2,spec_criteria_passing,6.0,2.0,2026-09-01T23:46:40,measure
2,e1_foundation_passing,10.0,0.0,2026-09-01T23:46:40,measure
2,e2_ingestion_passing,0.0,8.0,2026-09-01T23:46:40,measure
2,e3_exchange_passing,0.0,21.0,2026-09-01T23:46:40,measure
2,e4_store_agent_passing,0.0,20.0,2026-09-01T23:46:40,measure
2,e5_merchant_passing,0.0,10.0,2026-09-01T23:46:40,measure
2,e6_trust_passing,0.0,26.0,2026-09-01T23:46:40,measure
2,e7_buyer_passing,0.0,9.0,2026-09-01T23:46:40,measure
2,e8_proofs_passing,0.0,8.0,2026-09-01T23:46:40,measure
2,acceptance_pass_rate,13.33,86.67,2026-09-01T23:51:10,measure
2,acceptance_collected,120.0,0.0,2026-09-01T23:51:10,measure
2,build_succeeds,0.0,1.0,2026-09-01T23:51:10,measure
2,spec_criteria_passing,6.0,2.0,2026-09-01T23:51:10,measure
2,e1_foundation_passing,10.0,0.0,2026-09-01T23:51:10,measure
2,e2_ingestion_passing,0.0,8.0,2026-09-01T23:51:10,measure
2,e3_exchange_passing,0.0,21.0,2026-09-01T23:51:10,measure
2,e4_store_agent_passing,0.0,20.0,2026-09-01T23:51:10,measure
2,e5_merchant_passing,0.0,10.0,2026-09-01T23:51:10,measure
2,e6_trust_passing,0.0,26.0,2026-09-01T23:51:10,measure
2,e7_buyer_passing,0.0,9.0,2026-09-01T23:51:10,measure
2,e8_proofs_passing,0.0,8.0,2026-09-01T23:51:10,measure
2,acceptance_pass_rate,13.33,86.67,2026-09-02T00:15:22,measure
2,acceptance_collected,120.0,0.0,2026-09-02T00:15:22,measure
2,build_succeeds,1.0,0.0,2026-09-02T00:15:22,measure
2,spec_criteria_passing,6.0,2.0,2026-09-02T00:15:22,measure
2,e1_foundation_passing,10.0,0.0,2026-09-02T00:15:22,measure
2,e2_ingestion_passing,0.0,8.0,2026-09-02T00:15:22,measure
2,e3_exchange_passing,0.0,21.0,2026-09-02T00:15:22,measure
2,e4_store_agent_passing,0.0,20.0,2026-09-02T00:15:22,measure
2,e5_merchant_passing,0.0,10.0,2026-09-02T00:15:22,measure
2,e6_trust_passing,0.0,26.0,2026-09-02T00:15:22,measure
2,e7_buyer_passing,0.0,9.0,2026-09-02T00:15:22,measure
2,e8_proofs_passing,0.0,8.0,2026-09-02T00:15:22,measure
3,acceptance_pass_rate,13.33,86.67,2026-09-02T01:42:56,measure
3,acceptance_collected,120.0,0.0,2026-09-02T01:42:56,measure
3,build_succeeds,1.0,0.0,2026-09-02T01:42:56,measure
3,spec_criteria_passing,6.0,2.0,2026-09-02T01:42:56,measure
3,e1_foundation_passing,10.0,0.0,2026-09-02T01:42:56,measure
3,e2_ingestion_passing,0.0,8.0,2026-09-02T01:42:56,measure
3,e3_exchange_passing,0.0,21.0,2026-09-02T01:42:56,measure
3,e4_store_agent_passing,0.0,20.0,2026-09-02T01:42:56,measure
3,e5_merchant_passing,0.0,10.0,2026-09-02T01:42:56,measure
3,e6_trust_passing,0.0,26.0,2026-09-02T01:42:56,measure
3,e7_buyer_passing,0.0,9.0,2026-09-02T01:42:56,measure
3,e8_proofs_passing,0.0,8.0,2026-09-02T01:42:56,measure
4,acceptance_pass_rate,13.33,86.67,2026-09-02T01:51:49,measure
4,acceptance_collected,120.0,0.0,2026-09-02T01:51:49,measure
4,build_succeeds,1.0,0.0,2026-09-02T01:51:49,measure
4,spec_criteria_passing,6.0,2.0,2026-09-02T01:51:49,measure
4,e1_foundation_passing,10.0,0.0,2026-09-02T01:51:49,measure
4,e2_ingestion_passing,0.0,8.0,2026-09-02T01:51:49,measure
4,e3_exchange_passing,0.0,21.0,2026-09-02T01:51:49,measure
4,e4_store_agent_passing,0.0,20.0,2026-09-02T01:51:49,measure
4,e5_merchant_passing,0.0,10.0,2026-09-02T01:51:49,measure
4,e6_trust_passing,0.0,26.0,2026-09-02T01:51:49,measure
4,e7_buyer_passing,0.0,9.0,2026-09-02T01:51:49,measure
4,e8_proofs_passing,0.0,8.0,2026-09-02T01:51:49,measure
4,acceptance_pass_rate,13.33,86.67,2026-09-02T01:55:02,measure
4,acceptance_collected,120.0,0.0,2026-09-02T01:55:02,measure
4,build_succeeds,1.0,0.0,2026-09-02T01:55:02,measure
4,spec_criteria_passing,6.0,2.0,2026-09-02T01:55:02,measure
4,e1_foundation_passing,10.0,0.0,2026-09-02T01:55:02,measure
4,e2_ingestion_passing,0.0,8.0,2026-09-02T01:55:02,measure
4,e3_exchange_passing,0.0,21.0,2026-09-02T01:55:02,measure
4,e4_store_agent_passing,0.0,20.0,2026-09-02T01:55:02,measure
4,e5_merchant_passing,0.0,10.0,2026-09-02T01:55:02,measure
4,e6_trust_passing,0.0,26.0,2026-09-02T01:55:02,measure
4,e7_buyer_passing,0.0,9.0,2026-09-02T01:55:02,measure
4,e8_proofs_passing,0.0,8.0,2026-09-02T01:55:02,measure
5,acceptance_pass_rate,13.33,86.67,2026-09-02T08:20:31,measure
5,acceptance_collected,120.0,0.0,2026-09-02T08:20:31,measure
5,build_succeeds,0.0,1.0,2026-09-02T08:20:31,measure
5,spec_criteria_passing,6.0,2.0,2026-09-02T08:20:31,measure
5,e1_foundation_passing,10.0,0.0,2026-09-02T08:20:31,measure
5,e2_ingestion_passing,0.0,8.0,2026-09-02T08:20:31,measure
5,e3_exchange_passing,0.0,21.0,2026-09-02T08:20:31,measure
5,e4_store_agent_passing,0.0,20.0,2026-09-02T08:20:31,measure
5,e5_merchant_passing,0.0,10.0,2026-09-02T08:20:31,measure
5,e6_trust_passing,0.0,26.0,2026-09-02T08:20:31,measure
5,e7_buyer_passing,0.0,9.0,2026-09-02T08:20:31,measure
5,e8_proofs_passing,0.0,8.0,2026-09-02T08:20:31,measure
6,acceptance_pass_rate,13.33,86.67,2026-09-02T08:49:21,measure
6,acceptance_collected,120.0,0.0,2026-09-02T08:49:21,measure
6,build_succeeds,0.0,1.0,2026-09-02T08:49:21,measure
6,spec_criteria_passing,6.0,2.0,2026-09-02T08:49:21,measure
6,e1_foundation_passing,10.0,0.0,2026-09-02T08:49:21,measure
6,e2_ingestion_passing,0.0,8.0,2026-09-02T08:49:21,measure
6,e3_exchange_passing,0.0,21.0,2026-09-02T08:49:21,measure
6,e4_store_agent_passing,0.0,20.0,2026-09-02T08:49:21,measure
6,e5_merchant_passing,0.0,10.0,2026-09-02T08:49:21,measure
6,e6_trust_passing,0.0,26.0,2026-09-02T08:49:21,measure
6,e7_buyer_passing,0.0,9.0,2026-09-02T08:49:21,measure
6,e8_proofs_passing,0.0,8.0,2026-09-02T08:49:21,measure
6,acceptance_pass_rate,13.33,86.67,2026-09-02T09:36:56,measure
6,acceptance_collected,120.0,0.0,2026-09-02T09:36:56,measure
6,build_succeeds,1.0,0.0,2026-09-02T09:36:56,measure
6,spec_criteria_passing,6.0,2.0,2026-09-02T09:36:56,measure
6,e1_foundation_passing,10.0,0.0,2026-09-02T09:36:56,measure
6,e2_ingestion_passing,0.0,8.0,2026-09-02T09:36:56,measure
6,e3_exchange_passing,0.0,21.0,2026-09-02T09:36:56,measure
6,e4_store_agent_passing,0.0,20.0,2026-09-02T09:36:56,measure
6,e5_merchant_passing,0.0,10.0,2026-09-02T09:36:56,measure
6,e6_trust_passing,0.0,26.0,2026-09-02T09:36:56,measure
6,e7_buyer_passing,0.0,9.0,2026-09-02T09:36:56,measure
6,e8_proofs_passing,0.0,8.0,2026-09-02T09:36:56,measure
7,acceptance_pass_rate,13.33,86.67,2026-09-02T13:19:45,measure
7,acceptance_collected,120.0,0.0,2026-09-02T13:19:45,measure
7,build_succeeds,1.0,0.0,2026-09-02T13:19:45,measure
7,spec_criteria_passing,6.0,2.0,2026-09-02T13:19:45,measure
7,e1_foundation_passing,10.0,0.0,2026-09-02T13:19:45,measure
7,e2_ingestion_passing,0.0,8.0,2026-09-02T13:19:45,measure
7,e3_exchange_passing,0.0,21.0,2026-09-02T13:19:45,measure
7,e4_store_agent_passing,0.0,20.0,2026-09-02T13:19:45,measure
7,e5_merchant_passing,0.0,10.0,2026-09-02T13:19:45,measure
7,e6_trust_passing,0.0,26.0,2026-09-02T13:19:45,measure
7,e7_buyer_passing,0.0,9.0,2026-09-02T13:19:45,measure
7,e8_proofs_passing,0.0,8.0,2026-09-02T13:19:45,measure
8,acceptance_pass_rate,30.0,70.0,2026-09-02T16:04:52,measure
8,acceptance_collected,120.0,0.0,2026-09-02T16:04:52,measure
8,build_succeeds,1.0,0.0,2026-09-02T16:04:52,measure
8,spec_criteria_passing,6.0,2.0,2026-09-02T16:04:52,measure
8,e1_foundation_passing,10.0,0.0,2026-09-02T16:04:52,measure
8,e2_ingestion_passing,3.0,5.0,2026-09-02T16:04:52,measure
8,e3_exchange_passing,3.0,18.0,2026-09-02T16:04:52,measure
8,e4_store_agent_passing,3.0,17.0,2026-09-02T16:04:52,measure
8,e5_merchant_passing,2.0,8.0,2026-09-02T16:04:52,measure
8,e6_trust_passing,2.0,24.0,2026-09-02T16:04:52,measure
8,e7_buyer_passing,2.0,7.0,2026-09-02T16:04:52,measure
8,e8_proofs_passing,5.0,3.0,2026-09-02T16:04:52,measure
9,acceptance_pass_rate,35.83,64.17,2026-09-02T17:49:09,measure
9,acceptance_collected,120.0,0.0,2026-09-02T17:49:09,measure
9,build_succeeds,1.0,0.0,2026-09-02T17:49:09,measure
9,spec_criteria_passing,8.0,0.0,2026-09-02T17:49:09,measure
9,e1_foundation_passing,10.0,0.0,2026-09-02T17:49:09,measure
9,e2_ingestion_passing,6.0,2.0,2026-09-02T17:49:09,measure
9,e3_exchange_passing,3.0,18.0,2026-09-02T17:49:09,measure
9,e4_store_agent_passing,3.0,17.0,2026-09-02T17:49:09,measure
9,e5_merchant_passing,4.0,6.0,2026-09-02T17:49:09,measure
9,e6_trust_passing,2.0,24.0,2026-09-02T17:49:09,measure
9,e7_buyer_passing,2.0,7.0,2026-09-02T17:49:09,measure
9,e8_proofs_passing,5.0,3.0,2026-09-02T17:49:09,measure
10,acceptance_pass_rate,60.83,39.17,2026-09-02T22:22:48,measure
10,acceptance_collected,120.0,0.0,2026-09-02T22:22:48,measure
10,build_succeeds,1.0,0.0,2026-09-02T22:27:02,measure
10,spec_criteria_passing,8.0,0.0,2026-09-02T22:27:03,measure
10,e1_foundation_passing,10.0,0.0,2026-09-02T22:27:04,measure
10,e2_ingestion_passing,6.0,2.0,2026-09-02T22:27:05,measure
10,e3_exchange_passing,9.0,12.0,2026-09-02T22:27:06,measure
10,e4_store_agent_passing,3.0,17.0,2026-09-02T22:27:07,measure
10,e5_merchant_passing,4.0,6.0,2026-09-02T22:27:07,measure
10,e6_trust_passing,26.0,0.0,2026-09-02T22:27:08,measure
10,e7_buyer_passing,2.0,7.0,2026-09-02T22:27:09,measure
10,e8_proofs_passing,5.0,3.0,2026-09-02T22:27:10,measure
